iter,ID,ID-SO,GT_ID,GT ,#F,#RES,#M,RC,PR,F3,OUT
3,R1,,0,RAW(0),1,6,1,1.0,0.17,0.67,HNE | RAW(0) | LAD | HBS | CPP | LAD
4,R1,,0,RAW(0),1,5,1,1.0,0.2,0.71,HNE | RAW(0) | CPP | RCD (1) | HBS
5,R1,,0,RAW(0),1,4,1,1.0,0.25,0.77,HNE | RAW(0) | RCD(1) | CPP
6,R1,,0,RAW(0),1,3,1,1.0,0.33,0.83,HNE | RAW(0) | RCD(1)
7,R1,,0,RAW(0),1,3,1,1.0,0.33,0.83,HNE | RAW(0) | RCD(1)
8,R1,,0,RAW(0),1,5,1,1.0,0.2,0.71,HNE | RAW(0) | RCD(1) | CPP | LAD
9,R1,,0,RAW(0),1,4,1,1.0,0.25,0.77,HNE | RAW(0) | RCD(1) | HBS
0,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
1,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
2,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
3,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
4,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
5,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
6,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
7,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
8,R2,,0,ACH(2),1,4,1,1.0,0.25,0.77,ACH(2) | HNE | HBS | LAD
9,R2,,0,ACH(2),1,5,1,1.0,0.2,0.71,ACH(2) | HNE | HBS | LAD | RCD(1)
0,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | HBS
1,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | HBS
2,R3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(1) | LAD
3,R3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(1) | CPP
4,R3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(1) | LAD
5,R3,,0,HLR,1,4,1,1.0,0.25,0.77,HLR | HNE | RCD(1) | LAD
6,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | HBS
7,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | CPP
8,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | CPP
9,R3,,0,HLR,1,5,1,1.0,0.2,0.71,HLR | HNE | RCD(1) | LAD | HBS
0,R4,,0,LCH,1,4,1,1.0,0.25,0.77,LCH | HNE | RCD(1) | CPP
1,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | RCD(1) | CPP | LAD
2,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | CPP | LAD | HBS
3,R4,,0,LCH,1,6,1,1.0,0.17,0.67,LCH | HNE | CPP | RCD(1) | LAD | HBS
4,R4,,0,LCH,1,3,1,1.0,0.33,0.83,LCH | HNE | CPP
5,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | RCD(1) | CPP | LAD
6,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | RCD(1) | CPP | LAD
7,R4,,0,LCH,1,6,1,1.0,0.17,0.67,LCH | HNE | RCD(1) | CPP | LAD | HBS
8,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | RCD(1) | CPP | LAD
9,R4,,0,LCH,1,5,1,1.0,0.2,0.71,LCH | HNE | RCD(1) | CPP | LAD
0,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
1,R5,,0,OCH,1,6,1,1.0,0.17,0.67,OCH | HNE |LAD | RCD (1) | HBS | CPP
2,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE | LAD | RCD(1) | HBS
3,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE | LAD | RCD(1) | HBS
4,R5,,0,OCH,1,4,1,1.0,0.25,0.77,OCH | HNE |LAD | RCD (1)
5,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
6,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
7,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
8,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
9,R5,,0,OCH,1,5,1,1.0,0.2,0.71,OCH | HNE |LAD | RCD (1) | HBS
0,R6,,0,WCI(0),1,5,1,1.0,0.2,0.71,WCI(0) | HNE | RCD(1) | LAD | CPP
1,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | CPP
2,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
3,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | CPP
4,R6,,0,WCI(0),1,3,1,1.0,0.33,0.83,WCI(0) | HNE | RCD(1)
5,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
6,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
7,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
8,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
9,R6,,0,WCI(0),1,4,1,1.0,0.25,0.77,WCI(0) | HNE | RCD(1) | LAD
0,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
1,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
2,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
3,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
4,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
5,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
6,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
7,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
8,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
9,R7,,0,ARM(2),1,2,1,1.0,0.5,0.91,ARM (2) | HNE
0,D1,31880720,0,ACH(7),1,3,1,1,0.333333333,0.833333333,ACH(7) | HNE | CPP
1,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
2,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
3,D1,31880720,0,ACH(7),1,3,1,1,0.333333333,0.833333333,ACH(7) | HNE | CPP
4,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
5,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
6,D1,31880720,0,ACH(7),1,1,1,1,1,1,ACH(7)
7,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
8,D1,31880720,0,ACH(7),1,2,1,1,0.5,0.909090909,ACH(7) | HNE
9,D1,31880720,0,ACH(7),1,3,1,1,0.333333333,0.833333333,ACH(7) | HNE | CPP
0,D2,41600519,0,OCH | HNE | HBS,3,4,2,0.67,0.5,0.647969052,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4)"
1,D2,41600519,0,OCH | HNE | HBS,3,4,2,0.67,0.5,0.647969052,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4)"
2,D2,41600519,0,OCH | HNE | HBS,3,5,2,0.67,0.4,0.62763466,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP"
3,D2,41600519,0,OCH | HNE | HBS,3,5,2,0.67,0.4,0.62763466,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP"
4,D2,41600519,0,OCH | HNE | HBS,3,5,2,0.67,0.4,0.62763466,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP"
5,D2,41600519,0,OCH | HNE | HBS,3,5,2,0.67,0.4,0.62763466,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP"
6,D2,41600519,0,OCH | HNE | HBS,3,6,3,1,0.5,0.909090909,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP | OCH"
7,D2,41600519,0,OCH | HNE | HBS,3,4,3,1,0.75,0.967741935,"HNE | HBS | RCD(1,3,5) | OCH"
8,D2,41600519,0,OCH | HNE | HBS,3,4,3,1,0.75,0.967741935,"HNE | HBS | RCD(1,3,5) | OCH"
9,D2,41600519,0,OCH | HNE | HBS,3,5,2,0.67,0.4,0.62763466,"HNE | HBS | RCD(1,3,5) | LCN(0,2,4) | CPP"
0,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
1,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
2,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
3,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,4,3,0.6,0.75,0.612244898,LCH | LAD | HNE | HBS
4,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,4,3,0.6,0.75,0.612244898,LCH | LAD | HNE | ACH(0)
5,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
6,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
7,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
8,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
9,D3,45442843,0,"OCH | LCH | ACH(0,1) | HNE | HBS",5,5,4,0.8,0.8,0.8,LCH | LAD | HNE | HBS | ACH(0)
0,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
1,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
2,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
3,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
4,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
5,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,5,3,1,0.6,0.9375,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS"
6,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
7,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
8,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
9,D4,48385830,0,"ACH(0,1) | LCH | HLR",3,7,3,1,0.428571429,0.882352941,"LCH | HLR | WCI(0,1) | ACH(0,1) | HBS | LAD | LCN(0)"
0,D5,48594888,0,HNE | HBS,2,5,2,1,0.4,0.869565217,HNE | HBS | LCF(0) | RCD(6) | VRM
1,D5,48594888,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
2,D5,48594889,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
3,D5,48594890,0,HNE | HBS,2,5,2,1,0.4,0.869565217,HNE | HBS | LCF(0) | RCD(6) | LAD
4,D5,48594891,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
5,D5,48594892,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
6,D5,48594893,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
7,D5,48594894,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
8,D5,48594895,0,HNE | HBS,2,3,2,1,0.666666667,0.952380952,HNE | HBS | LCF(0)
9,D5,48594896,0,HNE | HBS,2,4,2,1,0.5,0.909090909,HNE | HBS | LCF(0) | LAD
0,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,4,2,0.5,0.5,0.5,HNE | HLR | LAD | VRM 
1,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,4,2,0.5,0.5,0.5,HNE | HLR | LAD | VRM 
2,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,3,1,0.25,0.333333333,0.256410256,HNE | LAD | VRM 
3,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,2,1,0.25,0.5,0.263157895,HNE | LAD 
4,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,4,2,0.5,0.5,0.5,HNE | HLR | LAD | VRM 
5,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,2,1,0.25,0.5,0.263157895,HNE | LAD
6,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,3,1,0.25,0.333333333,0.256410256,HNE | LAD | VRM 
7,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,4,2,0.5,0.5,0.5,HNE | HLR | LAD | HBS
8,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,2,1,0.25,0.5,0.263157895,HNE | LAD
9,D6,50306988,0,HLR | HNE | LCH | ACH(1),4,2,1,0.25,0.5,0.263157895,HNE | LAD
0,D7,51181393,0,HLR,1,3,0,0,0,0,LAD | HNE | HBS
1,D7,51181393,0,HLR,1,0,0,0,0,0,
2,D7,51181393,0,HLR,1,5,0,0,0,0,LAD | VRM | OCH | LCH | CPP
3,D7,51181393,0,HLR,1,3,0,0,0,0,LAD | HNE | HBS
4,D7,51181393,0,HLR,1,0,0,0,0,0,
5,D7,51181393,0,HLR,1,2,0,0,0,0,LAD | VRM
6,D7,51181393,0,HLR,1,3,0,0,0,0,LAD | HNE | HBS
7,D7,51181393,0,HLR,1,2,0,0,0,0,LAD | VRM 
8,D7,51181393,0,HLR,1,4,1,1,0.25,0.769230769,LAD | HLR | VRM | CPP
9,D7,51181393,0,HLR,1,7,0,0,0,0,LAD | HNE | HBS | OCH | LCH | ACH(0) | CPP
0,D8,56380303,0,OCH | HLR,2,5,0,0,0,0,"ACH(2) | LCH | CPP | LCN (0,1,2) | HNE"
1,D8,56380303,0,OCH | HLR,2,5,0,0,0,0,ACH(2) | LCH | CPP | LAD | VRM
2,D8,56380303,0,OCH | HLR,2,5,0,0,0,0,ACH(2) | LCH | CPP | LAD | VRM
3,D8,56380303,0,OCH | HLR,2,5,0,0,0,0,ACH(2) | LCH | CPP | LAD | VRM
4,D8,56380303,0,OCH | HLR,2,6,0,0,0,0,"ACH(2) | LCH | CPP | VRM | WCI(0,1,2) | HBS"
5,D8,56380303,0,OCH | HLR,2,5,1,0.5,0.2,0.434782609,ACH(2) | LCH | LCN(2) | HNE | OCH
6,D8,56380303,0,OCH | HLR,2,4,0,0,0,0,ACH(2) | LCH | LCN(2) | HNE
7,D8,56380303,0,OCH | HLR,2,6,1,0.5,0.166666667,0.416666667,"ACH(2) | LCH | LAD | LCN(0,1,2) | OCH | HNE"
8,D8,56380303,0,OCH | HLR,2,6,1,0.5,0.166666667,0.416666667,"ACH(2) | LCH | LAD | LCN(0,1,2) | OCH | HNE"
9,D8,56380303,0,OCH | HLR,2,7,1,0.5,0.142857143,0.4,"ACH(2) | LCH | LAD | LCN(0,1,2) | OCH | HNE | HBS"
0,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,3,2,0.67,0.666666667,0.669665167,CPP | VRM | HBS
1,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,3,2,0.67,0.666666667,0.669665167,CPP | VRM | HBS
2,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
3,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
4,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
5,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
6,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
7,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,2,1,0.33,0.5,0.341614907,CPP | VRM
8,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,4,1,0.33,0.25,0.319767442,CPP | LAD | HNE | VRM
9,D9,59325381,0,"CPP | ACH(5,6) | HBS",3,3,1,0.33,0.333333333,0.33033033,CPP | VRM | HNE
0,D5,48594888,303,['epochs'],1,2,1,1.0,0.5,0.91,"['epochs', 'batch_size']"
0,D6,50306988,85,['lr'],1,2,1,1.0,0.5,0.91,"['epochs', 'lr']"
0,D6,50306988,242,"['bi1', 'lr']",2,2,1,0.5,0.5,0.5,"['epochs', 'lr']"
0,D6,50306988,254,"['lr', 'unit1']",2,2,1,0.5,0.5,0.5,"['epochs', 'lr']"
0,D6,50306988,259,"['loss', 'lr']",2,2,1,0.5,0.5,0.5,"['epochs', 'lr']"
0,D6,50306988,268,"['batch_size', 'lr']",2,2,1,0.5,0.5,0.5,"['epochs', 'lr']"
0,D6,50306988,277,"['epochs', 'lr']",2,2,2,1.0,1.0,1.0,"['epochs', 'lr']"
0,D6,50306988,580,"['act1', 'epochs', 'lr']",3,2,2,0.67,1.0,0.69,"['epochs', 'lr']"
0,D4,48385830,102,['act1'],1,8,1,1.0,0.12,0.58,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,151,"['act1', 'act2', 'loss']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,253,"['act1', 'act2', 'ki1']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,251,"['act1', 'act2', 'ki1']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,252,"['act1', 'act2', 'ki1']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,274,"['act1', 'act2', 'loss']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,276,"['act1', 'act2', 'loss']",3,8,3,1.0,0.38,0.86,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,430,"['act1', 'ki2']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,432,"['act1', 'ki2']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,448,"['act1', 'loss']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,429,"['act1', 'ki1']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,427,"['act1', 'ki1']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D4,48385830,428,"['act1', 'ki1']",2,8,2,1.0,0.25,0.77,"['loss', 'lr', 'batch_size', 'act1', 'act2', 'ki1', 'ki2', 'unit1']"
0,D3,45442843,34,['batch_size'],1,4,1,1.0,0.25,0.77,"['loss', 'act1', 'epochs', 'batch_size']"
0,D3,45442843,43,['lr'],1,4,0,0.0,0.0,0,"['loss', 'act1', 'epochs', 'batch_size']"
0,D3,45442843,47,"['batch_size', 'ki1']",2,4,1,0.5,0.25,0.45,"['loss', 'act1', 'epochs', 'batch_size']"
